iter	Passed	Remaining
303	770	1764
304	772	1761
305	775	1758
306	777	1754
307	779	1750
308	781	1747
309	784	1745
310	786	1741
311	788	1738
312	790	1736
313	792	1732
314	795	1729
315	797	1725
316	799	1722
317	801	1718
318	803	1715
319	805	1711
320	807	1708
321	809	1704
322	811	1701
323	813	1697
324	815	1694
325	817	1690
326	820	1687
327	822	1684
328	824	1680
329	826	1677
330	828	1673
331	829	1669
332	831	1666
333	834	1663
334	836	1660
335	838	1656
336	840	1652
337	842	1649
338	844	1646
339	846	1643
340	848	1640
341	851	1637
342	853	1634
343	855	1631
344	857	1628
345	860	1625
346	862	1622
347	864	1620
348	867	1617
349	869	1614
350	871	1611
351	873	1608
352	876	1606
353	878	1603
354	880	1600
355	882	1596
356	884	1593
357	886	1590
358	888	1587
359	891	1584
360	893	1582
361	895	1579
362	898	1576
363	900	1573
364	902	1570
365	904	1567
366	906	1564
367	909	1561
368	911	1559
369	915	1558
370	918	1557
371	921	1554
372	923	1551
373	925	1549
374	927	1546
375	929	1542
376	932	1540
377	934	1537
378	936	1534
379	938	1531
380	940	1528
381	943	1525
382	945	1522
383	947	1520
384	949	1517
385	952	1514
386	955	1512
387	957	1510
388	959	1507
389	962	1504
390	964	1501
391	966	1498
392	968	1496
393	971	1493
394	973	1490
395	975	1488
396	978	1486
397	981	1484
398	984	1482
399	987	1480
400	989	1477
401	991	1475
402	994	1472
403	996	1470
404	999	1468
405	1001	1465
406	1004	1463
407	1005	1459
408	1007	1456
409	1009	1452
410	1011	1449
411	1013	1447
412	1016	1444
413	1018	1441
414	1020	1438
415	1022	1435
416	1024	1432
417	1026	1429
418	1028	1425
419	1030	1423
420	1033	1421
421	1035	1418
422	1037	1414
423	1039	1411
424	1041	1408
425	1043	1405
426	1045	1403
427	1047	1400
428	1050	1397
429	1052	1394
430	1054	1392
431	1056	1389
432	1058	1386
433	1061	1383
434	1063	1380
435	1065	1378
436	1067	1375
437	1069	1372
438	1072	1370
439	1074	1368
440	1077	1365
441	1079	1363
442	1081	1360
443	1083	1357
444	1086	1354
445	1088	1351
446	1090	1348
447	1091	1345
448	1093	1342
449	1095	1339
450	1098	1336
451	1100	1334
452	1103	1332
453	1105	1329
454	1107	1326
455	1109	1324
456	1112	1321
457	1113	1318
458	1115	1315
459	1118	1312
460	1119	1309
461	1121	1306
462	1123	1303
463	1125	1300
464	1127	1297
465	1129	1294
466	1131	1291
467	1133	1289
468	1135	1286
469	1137	1283
470	1140	1280
471	1142	1277
472	1144	1274
473	1146	1271
474	1148	1269
475	1150	1266
476	1152	1263
477	1155	1261
478	1157	1258
479	1159	1255
480	1160	1252
481	1162	1249
482	1164	1246
483	1165	1243
484	1167	1239
485	1169	1236
486	1171	1233
487	1172	1230
488	1174	1227
489	1176	1224
490	1178	1221
491	1180	1218
492	1181	1215
493	1183	1212
494	1185	1209
495	1187	1206
496	1189	1203
497	1190	1200
498	1192	1197
499	1194	1194
500	1196	1191
501	1197	1188
502	1199	1185
503	1201	1182
504	1203	1179
505	1204	1176
506	1206	1173
507	1208	1170
508	1210	1167
509	1212	1164
510	1214	1162
511	1216	1159
512	1217	1156
513	1219	1153
514	1221	1150
515	1223	1147
516	1225	1144
517	1226	1141
518	1228	1138
519	1230	1135
520	1232	1133
521	1234	1130
522	1236	1127
523	1238	1124
524	1240	1121
525	1242	1119
526	1244	1116
527	1246	1114
528	1248	1111
529	1250	1109
530	1252	1106
531	1254	1103
532	1256	1101
533	1258	1098
534	1260	1095
535	1262	1092
536	1263	1089
537	1265	1086
538	1267	1084
539	1269	1081
540	1271	1078
541	1273	1075
542	1274	1072
543	1276	1070
544	1278	1067
545	1280	1064
546	1282	1061
547	1283	1059
548	1285	1056
549	1287	1053
550	1289	1050
551	1291	1048
552	1293	1045
553	1295	1042
554	1297	1040
555	1299	1038
556	1302	1035
557	1303	1032
558	1306	1030
559	1308	1027
560	1309	1025
561	1311	1022
562	1314	1019
563	1316	1017
564	1317	1014
565	1320	1012
566	1323	1010
567	1325	1007
568	1327	1005
569	1329	1002
570	1331	1000
571	1333	997
572	1335	995
573	1337	992
574	1340	990
575	1343	988
576	1345	986
577	1347	984
578	1350	982
579	1352	979
580	1355	977
581	1357	975
582	1360	972
583	1362	970
584	1364	968
585	1367	965
586	1369	963
587	1371	960
588	1373	958
589	1375	956
590	1377	953
591	1380	951
592	1382	948
593	1384	946
594	1386	943
595	1388	941
596	1390	938
597	1392	936
598	1395	933
599	1397	931
600	1398	928
601	1400	926
602	1402	923
603	1404	920
604	1405	917
605	1407	915
606	1409	912
607	1411	910
608	1413	907
609	1415	904
610	1416	901
611	1418	899
612	1420	896
613	1421	893
614	1423	891
615	1425	888
616	1427	886
617	1429	883
618	1431	880
619	1432	878
620	1434	875
621	1436	872
622	1437	869
623	1439	867
624	1441	864
625	1442	861
626	1443	859
627	1445	856
628	1447	853
629	1448	850
630	1450	848
631	1452	845
632	1453	842
633	1455	840
634	1457	837
635	1458	834
636	1460	832
637	1462	829
638	1464	827
639	1465	824
640	1467	822
641	1469	819
642	1472	817
643	1473	814
644	1475	812
645	1477	809
646	1479	807
647	1481	804
648	1483	802
649	1485	799
650	1487	797
651	1489	794
652	1491	792
653	1492	789
654	1494	787
655	1497	785
656	1499	782
657	1501	780
658	1503	778
659	1505	775
660	1507	773
661	1509	770
662	1511	768
663	1513	766
664	1517	764
665	1519	762
666	1521	759
667	1524	757
668	1526	755
669	1528	753
670	1531	750
671	1533	748
672	1536	746
673	1538	744
674	1540	741
675	1543	739
676	1545	737
677	1548	735
678	1550	733
679	1553	731
680	1555	728
681	1557	726
682	1560	724
683	1562	721
684	1564	719
685	1567	717
686	1569	715
687	1571	712
688	1573	710
689	1576	708
690	1578	705
691	1580	703
692	1582	701
693	1584	698
694	1587	696
695	1589	694
696	1591	691
697	1593	689
698	1596	687
699	1598	684
700	1600	682
701	1603	680
702	1605	678
703	1608	676
704	1610	673
705	1611	671
706	1614	668
707	1616	666
708	1618	664
709	1621	662
710	1623	659
711	1625	657
712	1627	655
713	1629	652
714	1631	650
715	1633	648
716	1636	646
717	1639	643
718	1640	641
719	1643	639
720	1645	636
721	1647	634
722	1649	631
723	1651	629
724	1654	627
725	1655	624
726	1657	622
727	1660	620
728	1662	617
729	1663	615
730	1665	612
731	1666	610
732	1668	607
733	1671	605
734	1672	603
735	1674	600
736	1676	598
737	1678	595
738	1680	593
739	1682	591
740	1684	588
741	1686	586
742	1688	584
743	1690	581
744	1692	579
745	1694	576
746	1696	574
747	1698	572
748	1699	569
749	1702	567
750	1703	564
751	1705	562
752	1707	560
753	1709	557
754	1710	555
755	1712	552
756	1714	550
757	1716	547
758	1717	545
759	1719	543
760	1721	540
761	1723	538
762	1725	535
763	1726	533
764	1728	530
765	1730	528
766	1731	526
767	1733	523
768	1735	521
769	1737	518
770	1738	516
771	1740	514
772	1742	511
773	1744	509
774	1745	506
775	1747	504
776	1749	502
777	1751	499
778	1753	497
779	1755	495
780	1756	492
781	1758	490
782	1760	487
783	1762	485
784	1763	483
785	1765	480
786	1767	478
787	1768	475
788	1770	473
789	1772	471
790	1773	468
791	1775	466
792	1777	463
793	1779	461
794	1781	459
795	1783	457
796	1785	454
797	1786	452
798	1788	449
799	1790	447
800	1792	445
801	1794	442
802	1796	440
803	1798	438
804	1800	436
805	1802	433
806	1803	431
807	1805	429
808	1807	426
809	1809	424
810	1810	421
811	1812	419
812	1814	417
813	1816	415
814	1818	412
815	1819	410
816	1822	408
817	1823	405
818	1825	403
819	1826	401
820	1828	398
821	1830	396
822	1832	394
823	1834	391
824	1836	389
825	1838	387
826	1839	384
827	1841	382
828	1843	380
829	1845	378
830	1847	375
831	1849	373
832	1850	371
833	1852	368
834	1854	366
835	1856	364
836	1858	361
837	1859	359
838	1861	357
839	1863	354
840	1865	352
841	1867	350
842	1869	348
843	1870	345
844	1873	343
845	1875	341
846	1877	339
847	1878	336
848	1880	334
849	1883	332
850	1884	330
851	1886	327
852	1889	325
853	1891	323
854	1892	321
855	1894	318
856	1897	316
857	1898	314
858	1900	312
859	1902	309
860	1904	307
861	1906	305
862	1907	302
863	1909	300
864	1911	298
865	1913	296
866	1915	293
867	1917	291
868	1918	289
869	1920	286
870	1922	284
871	1923	282
872	1925	280
873	1926	277
874	1928	275
875	1930	273
876	1932	271
877	1934	268
878	1935	266
879	1937	264
880	1939	261
881	1941	259
882	1942	257
883	1944	255
884	1946	252
885	1948	250
886	1950	248
887	1952	246
888	1954	244
889	1956	241
890	1957	239
891	1959	237
892	1961	235
893	1963	232
894	1965	230
895	1967	228
896	1968	226
897	1970	223
898	1972	221
899	1974	219
900	1975	217
901	1977	214
902	1979	212
903	1981	210
904	1982	208
905	1984	205
906	1986	203
907	1987	201
908	1990	199
909	1992	197
910	1994	194
911	1996	192
912	1998	190
913	2000	188
914	2002	185
915	2003	183
916	2005	181
917	2007	179
918	2009	177
919	2011	174
920	2013	172
921	2015	170
922	2017	168
923	2019	166
924	2021	163
925	2023	161
926	2025	159
927	2027	157
928	2028	155
929	2030	152
930	2032	150
931	2033	148
932	2035	146
933	2037	143
934	2038	141
935	2040	139
936	2042	137
937	2044	135
938	2046	132
939	2048	130
940	2049	128
941	2051	126
942	2053	124
943	2055	121
944	2056	119
945	2058	117
946	2060	115
947	2062	113
948	2063	110
949	2065	108
950	2067	106
951	2069	104
952	2070	102
953	2072	99
954	2074	97
955	2076	95
956	2077	93
957	2079	91
958	2081	88
959	2083	86
960	2084	84
961	2086	82
962	2088	80
963	2090	78
964	2092	75
965	2094	73
966	2095	71
967	2097	69
968	2099	67
969	2101	64
970	2103	62
971	2105	60
972	2106	58
973	2108	56
974	2110	54
975	2111	51
976	2113	49
977	2115	47
978	2117	45
979	2118	43
980	2121	41
981	2122	38
982	2124	36
983	2126	34
984	2128	32
985	2129	30
986	2131	28
987	2133	25
988	2136	23
989	2137	21
990	2139	19
991	2141	17
992	2143	15
993	2145	12
994	2147	10
995	2149	8
996	2151	6
997	2153	4
998	2154	2
999	2156	0
